bus_id,route,bus_type,depot,date,capacity,passengers,occupancy_rate,distance_km,fare_per_passenger,revenue,fuel_consumed_liters,month,day_of_week
AP0001,Kurnool-Hyderabad,Volvo AC,Guntur,2024-11-26,49,32,65.77,326.58,908.75,29079.96,75.73,November,Tuesday
AP0002,Anantapur-Bangalore,Sleeper,Tirupati,2024-10-03,36,14,41.42,291.91,770.66,10789.3,71.55,October,Thursday
AP0003,Hyderabad-Vijayawada,Volvo AC,Vijayawada,2024-07-06,49,43,89.26,238.41,277.49,11932.08,47.85,July,Saturday
AP0004,Eluru-Hyderabad,Semi-Sleeper,Kurnool,2024-11-02,63,52,83.97,347.55,199.64,10381.38,72.64,November,Saturday
AP0005,Kurnool-Hyderabad,Sleeper,Hyderabad,2024-09-20,44,31,70.62,444.88,591.89,18348.44,77.17,September,Friday
AP0006,Eluru-Hyderabad,Super Luxury,Kurnool,2024-09-16,49,33,68.86,212.21,421.03,13893.87,50.32,September,Monday
AP0007,Guntur-Hyderabad,Sleeper,Nellore,2024-10-30,40,37,93.01,371.86,668.27,24725.94,71.44,October,Wednesday
AP0008,Eluru-Hyderabad,Semi-Sleeper,Nellore,2024-02-22,55,41,75.38,202.15,295.16,12101.44,51.51,February,Thursday
AP0009,Nellore-Chennai,Express,Hyderabad,2024-12-10,55,13,24.74,265.66,434.36,5646.7,64.96,December,Tuesday
AP0010,Kurnool-Hyderabad,Ordinary,Hyderabad,2024-08-18,63,55,88.32,397.6,296.57,16311.34,71.73,August,Sunday
AP0011,Kakinada-Vijayawada,Ordinary,Tirupati,2024-03-02,59,46,79.51,325.43,276.5,12719.05,83.78,March,Saturday
AP0012,Nellore-Chennai,Sleeper,Visakhapatnam,2024-05-10,44,32,72.76,246.22,416.65,13332.87,55.46,May,Friday
AP0013,Hyderabad-Vijayawada,Sleeper,Vijayawada,2024-02-11,44,27,62.34,235.7,559.65,15110.65,45.7,February,Sunday
AP0014,Chittoor-Bangalore,Sleeper,Visakhapatnam,2024-08-18,36,19,54.02,440.35,715.67,13597.7,97.53,August,Sunday
AP0015,Kadapa-Hyderabad,Super Luxury,Guntur,2024-05-13,49,33,67.47,203.3,478.73,15797.96,38.99,May,Monday
AP0016,Chittoor-Bangalore,Volvo AC,Tirupati,2024-10-09,49,31,63.51,279.79,1074.37,33305.55,66.02,October,Wednesday
AP0017,Ongole-Hyderabad,Ordinary,Tirupati,2024-06-13,59,35,59.71,84.48,142.05,4971.71,17.69,June,Thursday
AP0018,Hyderabad-Vijayawada,Super Luxury,Vijayawada,2024-06-28,49,35,72.51,279.52,667.94,23377.92,83.86,June,Friday
AP0019,Hyderabad-Vijayawada,Semi-Sleeper,Hyderabad,2024-04-22,63,39,62.66,246.22,182.32,7110.43,54.97,April,Monday
AP0020,Nellore-Chennai,Ordinary,Visakhapatnam,2024-05-05,59,59,100.0,341.99,254.82,15034.29,79.41,May,Sunday
AP0021,Hyderabad-Visakhapatnam,Sleeper,Tirupati,2024-05-02,44,20,45.9,632.86,1053.71,21074.13,124.05,May,Thursday
AP0022,Hyderabad-Vijayawada,Semi-Sleeper,Guntur,2024-07-19,63,60,95.88,282.69,362.42,21744.99,57.28,July,Friday
AP0023,Chittoor-Bangalore,Super Luxury,Kurnool,2024-05-26,53,36,68.63,421.81,718.45,25864.23,112.82,May,Sunday
AP0024,Vijayawada-Visakhapatnam,Volvo AC,Hyderabad,2024-05-30,53,48,91.0,398.2,616.12,29573.53,75.98,May,Thursday
AP0025,Eluru-Hyderabad,Semi-Sleeper,Vijayawada,2024-01-02,59,33,56.54,351.3,315.08,10397.69,73.15,January,Tuesday
AP0026,Hyderabad-Vijayawada,Semi-Sleeper,Tirupati,2024-10-30,63,48,77.29,256.45,330.04,15841.86,74.47,October,Wednesday
AP0027,Hyderabad-Tirupati,Volvo AC,Kurnool,2024-04-21,57,53,93.26,571.35,923.53,48946.99,96.33,April,Sunday
AP0028,Ongole-Hyderabad,Ordinary,Visakhapatnam,2024-06-09,63,28,45.98,230.87,238.56,6679.7,45.94,June,Sunday
AP0029,Vijayawada-Visakhapatnam,Ordinary,Kurnool,2024-06-24,63,27,43.59,254.01,342.69,9252.57,47.18,June,Monday
AP0030,Chittoor-Bangalore,Super Luxury,Visakhapatnam,2024-09-20,49,36,74.41,342.29,402.21,14479.72,71.71,September,Friday
